Agency Name,County,Item Name,Quantity,Unit Cost,Ship Date
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"MAGAZINE,CARTRIDGE",30,9.98,11/18/13
SEASIDE PARK POLICE DEPT,OCEAN,"MAGAZINE,CARTRIDGE",50,9.98,1/8/14
TINTON FALLS POLICE DEPT,MONMOUTH,"MAGAZINE,CARTRIDGE",40,9.98,3/5/14
UNDISCLOSED BY DLA,ESSEX,MAGNIFIER LENS ASSEMBLY,17,903.14,2/20/13
JACKSON TWP POLICE DEPT,OCEAN,"MANIKIN,RESUSCITATION TRAINING",1,820.65,12/19/13
SEASIDE PARK POLICE DEPT,OCEAN,MARINE LIFESAVING AND DIVING EQUIPMENT,14,32.85,1/8/14
WALL TOWNSHIP POLICE DEPT,MONMOUTH,"MAT,SLEEPING,SELF-INFLATING",40,45.31,1/30/14
JACKSON TWP POLICE DEPT,OCEAN,"MEDICAL MATERIEL SET,MINIMAL CARE WARD-2005",4,67172.70,3/13/14
BELLEVILLE POLICE DEPT,ESSEX,"MEDICAL MATERIEL SET,MINIMAL CARE WARD,DEPLOYABLE MEDICAL SYSTEM",1,30023.12,12/19/13
OCEANPORT POLICE DEPT,MONMOUTH,"MEDICAL MATERIEL SET,MINIMAL CARE WARD,DEPLOYABLE MEDICAL SYSTEM",1,30023.12,5/15/13
JACKSON TWP POLICE DEPT,OCEAN,"MEDICAL MATERIEL SET,PHYSICAL OCCUPATIONAL THERAPY-2005",1,73565.89,3/13/14
JACKSON TWP POLICE DEPT,OCEAN,"MEDICAL MATERIEL SET,PHYSICAL-OCCUPATIONAL THERAPY,DEPLOYABLE MEDICAL SYSTEM",1,37296.73,3/13/14
OCEANPORT POLICE DEPT,MONMOUTH,"MEDICAL MATERIEL SET,PHYSICAL-OCCUPATIONAL THERAPY,DEPLOYABLE MEDICAL SYSTEM",1,37296.73,5/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MEDICAL MONITOR,1,4500.00,3/7/13
ESSEX COUNTY SHERIFF DEPT,ESSEX,METAL DETECTOR,50,3600.00,12/13/13
UNDISCLOSED BY DLA,MONMOUTH,MINE RESISTANT VEHICLE,1,412000.00,10/4/13
UNDISCLOSED BY DLA,ESSEX,MK3MOD0,1,177447.00,9/25/13
UNDISCLOSED BY DLA,ESSEX,MK3MOD0,1,177447.00,11/6/13
UNDISCLOSED BY DLA,ESSEX,MK3MOD0,1,177447.00,11/13/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MODIFICATION KIT,NIGHT VISION EQUIPMENT",12,542.40,1/3/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MODULAR SLEEP SYSTEM,15,263.05,2/12/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MODULAR SLEEP SYSTEM,6,263.05,4/3/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MODULAR SLEEP SYSTEM,7,263.05,3/29/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,MODULAR SLEEP SYSTEM,5,263.05,11/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MODULE,TRAUMA",190,39.24,12/20/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"MONITOR, COMPUTER",2,100.00,9/19/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,19917.15,4/26/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,19917.15,4/26/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,20604.46,8/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,20604.46,8/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,20604.46,8/27/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,9349.20,3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,9349.20,3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,9349.20,3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,9349.20,3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,9349.20,3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MONITOR,PATIENT VITAL SIGNS",1,9349.20,3/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MOUNT,GUN",4,321.64,8/7/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MOUNT,NVG,1 HOLE",10,341.90,9/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MOUNT,QUICK RELEASE ASSEMBLY",10,42.62,2/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MOUNT,SIGHT,SMALL ARMS",3,313.43,3/28/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MOUNT,VIEWER",7,266.00,8/1/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MOUNT,VIEWER",1,183.55,2/3/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MOUNT,VIEWER",25,789.17,2/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MOUNT,VIEWER",12,126.00,5/12/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MOUNTING KIT,HOLSTER",89,0.00,12/3/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"MOUNTING LOCKING MECHANISM,GOGGLES,NIGHT VISION",1,1101.45,3/8/13
OCEANPORT POLICE DEPT,MONMOUTH,MULE,1,900.00,7/9/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MULTIMETER,3,127.00,7/31/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MULTIMETER,1,394.31,4/2/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MULTIMETER,6,1129.00,2/12/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MULTIMETER,26,395.95,9/19/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,MULTIMETER,8,563.83,3/12/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,MULTIMETER,1,563.83,12/12/13
LAKEWOOD POLICE DEPT,OCEAN,NETWORK SERVER,3,20000.00,4/12/13
UNDISCLOSED BY DLA,ESSEX,NIGHT VISION GOGGLE,7,3072.39,11/26/13
UNDISCLOSED BY DLA,BERGEN                   ,"NIGHT VISION SIGHT,",1,4231.00,4/21/95
BRICK TOWNSHIP POLICE DEPT,OCEAN,NO DESCPRIPTION PROVIDED,1,55000.00,3/20/13
BRICK TOWNSHIP POLICE DEPT,OCEAN,NO DESCPRIPTION PROVIDED,1,14406.00,3/22/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,NO DESCPRIPTION PROVIDED,311,135.62,7/17/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,NO DESCPRIPTION PROVIDED,1,0.00,8/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,NO DESCPRIPTION PROVIDED,20,68.99,7/31/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,NO DESCPRIPTION PROVIDED,5,30.12,8/1/13
LAKEWOOD POLICE DEPT,OCEAN,NO DESCPRIPTION PROVIDED,25,300.00,2/7/13
LAKEWOOD POLICE DEPT,OCEAN,NO DESCPRIPTION PROVIDED,1,42.50,4/12/13
LAKEWOOD POLICE DEPT,OCEAN,NO DESCPRIPTION PROVIDED,1,235.00,4/12/13
LAKEWOOD POLICE DEPT,OCEAN,NO DESCPRIPTION PROVIDED,1,20000.00,4/15/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,1,589.66,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,2,589.66,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,1,589.66,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,18,796.00,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,15,589.66,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,10,589.66,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,2,1000.00,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,2,1000.00,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,2,7936.00,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,4,575.00,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,2,208.27,1/18/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,NO DESCPRIPTION PROVIDED,1,125.00,1/18/13
NJ STATE POLICE LAKEHURST,OCEAN,NO DESCPRIPTION PROVIDED,100,418.00,12/13/12
POINT PLEASANT BEACH POLICE DEPT,OCEAN,NO DESCPRIPTION PROVIDED,1,14114.00,12/6/12
SEASIDE PARK POLICE DEPT,OCEAN,NO DESCPRIPTION PROVIDED,12,108.23,2/19/14
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,No Item Name Available,1,5424.99,12/12/13
SEASIDE PARK POLICE DEPT,OCEAN,"OFFICE SUPPLIES, PRINTING",1,265.00,9/24/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,ONE AND THREE HOLE UNIVERSAL INTERFACE,7,132.50,12/5/13
UNDISCLOSED BY DLA,ESSEX,OPTICAL SIGHTING AND RANGING EQUIPMENT,1,175.00,3/29/13
JACKSON TWP POLICE DEPT,OCEAN,"OUTERWEAR, MEN'S",20,19.00,11/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"OVERALLS,COLD WEATHER",5,34.34,12/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"OVERALLS,COLD WEATHER",6,34.34,12/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"OVERALLS,COLD WEATHER",6,34.34,12/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"OVERALLS,COLD WEATHER",6,34.34,12/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"OVERALLS,COLD WEATHER",39,43.37,11/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"OVERALLS,COLD WEATHER",11,43.22,11/21/13
LAKEHURST POLICE DEPT,OCEAN,"OVERALLS,COLD WEATHER",3,43.22,11/14/13
LAKEHURST POLICE DEPT,OCEAN,"OVERALLS,COLD WEATHER",10,43.22,11/14/13
SEASIDE PARK POLICE DEPT,OCEAN,"OVERALLS,COLD WEATHER",20,43.22,1/8/14
US DHS ICE INVESTIGATIONS NEWARK,ESSEX,"OVERALLS,COLD WEATHER",20,43.22,4/22/14
LAKEWOOD POLICE DEPT,OCEAN,OVERHEAD PROJECTOR,3,5787.00,4/12/13
SEASIDE PARK POLICE DEPT,OCEAN,OVERHEAD PROJECTOR,2,100.00,9/24/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PACK,ASSAULT",25,263.81,2/25/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"PACK,ASSAULT,MOLLE",2,60.05,7/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PACK,ASSUALT",19,64.95,11/26/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PACK,MEDICAL SUPPLY,ROLLING",1,942.67,3/29/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PACK,MEDICAL SUPPLY,ROLLING",1,942.67,3/29/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PACK,MEDICAL SUPPLY,ROLLING",1,942.67,3/29/13
ABERDEEN TOWNSHIP POLICE DEPT,MONMOUTH,"PAD,ABSORBENT,HAZARDOUS MATERIAL",10,96.70,3/18/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PAD,HELMET,ADVANCED COMBAT",8,9.16,3/1/13
LAKEHURST POLICE DEPT,OCEAN,PADLOCK SET,4,285.32,11/14/13
BELLEVILLE POLICE DEPT,ESSEX,PALLET JACK,1,200.00,6/24/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PAN AND TILT ASSEMBLY,THERMAL VIEWER",3,71300.60,2/20/13
NJ STATE POLICE TRENTON,MERCER,"PAN AND TILT ASSEMBLY,THERMAL VIEWER",4,2914.00,7/2/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PANEL,MODULAR,HANGING TRAUMA",6,740.53,12/17/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PANEL,MODULAR,MEDICAL,PRIMARY CARE",1,691.60,12/16/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PANEL,MODULAR,MEDICAL,PRIMARY CARE",2,691.60,5/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PANEL,MODULAR,MEDICAL,WOUND MANAGEMENT",1,674.70,12/17/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PANEL,VEHICLE MOLLE",50,39.39,4/11/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PARKA,SNOW CAMOUFLAGE",20,51.89,12/4/13
TINTON FALLS POLICE DEPT,MONMOUTH,"PARTS KIT,BRAKE SHOE",1,147.63,3/24/14
LITTLE SILVER POLICE DEPT,MONMOUTH,"PARTS KIT,SEAT,VEHICULAR",2,809.00,3/4/14
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"PARTS KIT,SEAT,VEHICULAR",3,809.00,3/5/14
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"PARTS KIT,SEAT,VEHICULAR",4,809.00,3/5/14
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"PARTS KIT,SEAT,VEHICULAR",1,809.00,3/5/14
TINTON FALLS POLICE DEPT,MONMOUTH,"PARTS KIT,SEAT,VEHICULAR",1,809.00,2/20/14
TINTON FALLS POLICE DEPT,MONMOUTH,"PARTS KIT,SEAT,VEHICULAR",5,809.00,3/4/14
TINTON FALLS POLICE DEPT,MONMOUTH,"PARTS KIT,WINCH,OVE",5,5263.00,2/7/14
POINT PLEASANT BEACH POLICE DEPT,OCEAN,PASSENGER MOTOR VEHICLES,1,11000.00,12/14/12
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PATCH POCKET,MULTI-PURPOSE",82,23.61,5/21/14
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON,PICKUP,1,25000.00,3/3/14
PEMBERTON TOWNSHIP POLICE DEPT,BURLINGTON,PICKUP,1,0.00,2/6/14
UNDISCLOSED BY DLA,BERGEN                   ,"PISTOL,CALIBER .45,AUTOMATIC",1,58.71,5/20/08
UNDISCLOSED BY DLA,BERGEN                   ,"PISTOL,CALIBER .45,AUTOMATIC",1,58.71,5/20/08
UNDISCLOSED BY DLA,OCEAN,"PISTOL,CALIBER .45,AUTOMATIC",1,58.71,1/7/12
UNDISCLOSED BY DLA,OCEAN,"PISTOL,CALIBER .45,AUTOMATIC",1,58.71,1/7/12
UNDISCLOSED BY DLA,OCEAN,"PISTOL,CALIBER .45,AUTOMATIC",1,58.71,1/7/12
UNDISCLOSED BY DLA,OCEAN,"PISTOL,CALIBER .45,AUTOMATIC",1,58.71,1/7/12
UNDISCLOSED BY DLA,OCEAN,"PISTOL,CALIBER .45,AUTOMATIC",1,58.71,1/7/12
UNDISCLOSED BY DLA,OCEAN,"PISTOL,CALIBER .45,AUTOMATIC",1,58.71,1/7/12
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PITON,MOUNTAIN",50,13.97,3/5/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PITON,MOUNTAIN",50,6.87,3/5/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PITON,MOUNTAIN",100,2.68,5/7/14
FEDERAL BUREAU OF INVESTIGATION,ESSEX,PLIERS,9,10.34,3/20/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PLIERS,DIAGONAL CUTTING",3,17.09,3/21/13
BRICK TOWNSHIP POLICE DEPT,OCEAN,"PLOTTER,GRAPHICS",1,0.00,3/20/14
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"POUCH,CANTEEN,GENER",80,11.11,9/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"POUCH,DUMP",63,15.57,9/19/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"POUCH,FLASH BANG GRENADE",40,5.26,7/25/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"POUCH,FRAG GRENADE,SINGLE",24,18.75,2/25/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"POUCH,M4 THREE MAG",40,18.51,7/25/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"POUCH,M4 THREE MAG",40,18.51,7/25/13
SEASIDE PARK POLICE DEPT,OCEAN,"POUCH,M4 THREE MAG",15,18.51,8/26/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"POUCH,SINGLE MAGAZINE",24,14.82,2/25/13
BELMAR POLICE DEPT,MONMOUTH,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,33085.00,7/30/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,96400.00,3/29/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,19395.00,11/19/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,19395.00,11/19/13
WALL TOWNSHIP POLICE DEPT,MONMOUTH,POWER SUPPLY,2,3329.64,12/11/13
OCEAN TOWNSHIP POLICE DEPT,OCEAN,PREFABRICATED TOWER STRUCTURES,1,0.00,1/6/14
OCEANPORT POLICE DEPT,MONMOUTH,PRINTER,5,500.00,12/24/12
LAKEHURST POLICE DEPT,OCEAN,"PRINTER, LASER",3,159.86,6/5/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PROBE,BORESCOPE",3,193.90,5/8/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PROBE,MINE",36,62.49,3/19/13
LAKEWOOD POLICE DEPT,OCEAN,PROJECTION SCREEN,2,82.00,4/15/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"PROJECTOR, COMPUTER SCREEN",1,1500.00,12/12/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"PROJECTOR,MULTIMEDIA",1,7644.17,3/27/13
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"PROJECTOR,MULTIMEDIA",1,0.00,12/12/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"PUMP UNIT,CENTRIFUGAL",2,3547.00,3/4/14
US DHS ICE INVESTIGATIONS NEWARK,ESSEX,"PUMP UNIT,CENTRIFUGAL",1,2977.00,3/28/14
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"PUMP,HYDRAULIC RAM,HAND DRIVEN",1,509.18,9/6/13
BELMAR POLICE DEPT,MONMOUTH,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",4,13094.00,11/15/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",2,13094.00,10/22/12
SPRING LAKE BOROUGH POLICE DEPT,MONMOUTH,"PUMPING ASSEMBLY,FLAMMABLE LIQUID,BULK TRANSFER",2,13094.00,11/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,PUSH BUTTON,1,185.47,8/20/13
LAKEWOOD POLICE DEPT,OCEAN,"RACK, COMMERCIAL STORAGE",1,10000.00,12/6/12
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"RACK,STORAGE,SMALL ARMS",12,448.22,11/15/13
MIDDLE TOWNSHIP POLICE DEPT,CAPE MAY,"RACK,STORAGE,SMALL ARMS",2,448.22,6/10/13
MIDDLE TOWNSHIP POLICE DEPT,CAPE MAY,"RACK,STORAGE,SMALL ARMS",2,448.22,2/11/14
NEPTUNE CITY POLICE DEPT,MONMOUTH,"RACK,STORAGE,SMALL ARMS",1,448.22,11/12/13
POINT PLEASANT BEACH POLICE DEPT,OCEAN,RADIO SET,1,1699.00,10/9/11
POINT PLEASANT BEACH POLICE DEPT,OCEAN,RADIO SET,1,1699.00,10/9/11
FEDERAL BUREAU OF INVESTIGATION,ESSEX,RADIO SWITCH UNIT,3,486.07,4/2/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"RADIO,GPS HANDHELD",2,275.58,3/5/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"RAIL COVER,2 RIB",50,0.53,3/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"RAIL COVER,4 RIB",50,0.40,3/15/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"RAIL COVER,6 RIB",50,0.44,3/15/13
WALL TOWNSHIP POLICE DEPT,MONMOUTH,"RAMP,MOBILE,CONTAINER LOADING",1,7229.00,2/11/14
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",5,0.00,5/6/14
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",1,20501.00,7/30/13
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",1,20501.00,7/30/13
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",1,20501.00,7/30/13
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",1,20501.00,7/30/13
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",1,20501.00,7/30/13
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",1,20501.00,7/30/13
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",1,20501.00,7/30/13
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",1,20501.00,7/30/13
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",1,20501.00,7/30/13
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",18,400.00,2/20/14
UNDISCLOSED BY DLA,ESSEX,"RANGE FINDER,LASER",12,400.00,3/6/14
POINT PLEASANT BEACH POLICE DEPT,OCEAN,"RECEIVER-TRANSMITTER,RADIO",1,0.00,10/3/11
POINT PLEASANT BEACH POLICE DEPT,OCEAN,"RECEIVER-TRANSMITTER,RADIO",1,0.00,11/14/11
POINT PLEASANT BEACH POLICE DEPT,OCEAN,"RECEIVER-TRANSMITTER,RADIO",1,0.00,11/14/11
POINT PLEASANT BEACH POLICE DEPT,OCEAN,"RECEIVER-TRANSMITTER,RADIO",1,0.00,10/3/11
POINT PLEASANT BEACH POLICE DEPT,OCEAN,"RECEIVER-TRANSMITTER,RADIO",1,0.00,11/14/11
POINT PLEASANT BEACH POLICE DEPT,OCEAN,"RECEIVER-TRANSMITTER,RADIO",1,0.00,11/14/11
POINT PLEASANT BEACH POLICE DEPT,OCEAN,"RECEIVER-TRANSMITTER,RADIO",1,0.00,11/14/11
POINT PLEASANT BEACH POLICE DEPT,OCEAN,"RECEIVER-TRANSMITTER,RADIO",1,0.00,11/14/11
POINT PLEASANT BEACH POLICE DEPT,OCEAN,"RECEIVER-TRANSMITTER,RADIO",1,0.00,11/14/11
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"RECORDING SET,WEATHER DATA",1,281.68,4/24/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,REFRIGERATOR,2,250.00,3/5/14
TINTON FALLS POLICE DEPT,MONMOUTH,REFRIGERATOR,10,250.00,3/5/14
NEPTUNE CITY POLICE DEPT,MONMOUTH,"RESCUE AND SALVAGING KIT,HYDRAULIC",1,13493.00,12/11/13
GALLOWAY TOWNSHIP POLICE DEPT,ATLANTIC,"RESCUE AND TRANSPORT SYSTEM,PATIENT",1,706.03,9/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"RESCUE HOOK,SURVIVAL",150,33.87,6/25/13
LAKEHURST POLICE DEPT,OCEAN,"RESCUE HOOK,SURVIVAL",20,33.87,11/14/13
MIDDLETOWN TOWNSHIP POLICE DEPT,MONMOUTH,"RESCUE HOOK,SURVIVAL",5,33.87,11/6/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"RESPIRATOR,AIR FILTERING",36,810.75,2/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"RESPIRATOR,AIR FILTERING",35,810.75,2/21/13
FEDERAL BUREAU OF INVESTIGATION,ESSEX,"RESPIRATOR,AIR FILTERING",42,810.75,2/21/13
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,ATLANTIC,M-16 ASSAULT RIFLE,1,499.00,3/14/06
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,8/20/08
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,8/20/08
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,8/20/08
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,8/20/08
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,8/20/08
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,1/17/08
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,1/17/08
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,1/17/08
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,1/17/08
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,1/17/08
UNDISCLOSED BY DLA,BERGEN                   ,M-16 ASSAULT RIFLE,1,499.00,2/9/06
